station_id,name,lat,lon,city,openaq_id,source
HN_001,556 Nguyễn Văn Cừ,21.0491,105.8831,Hà Nội,4946811,OpenAQ API
HN_002,An Khánh,21.0024,105.7181,Hà Nội,2161290,OpenAQ API
HN_003,Chúc Sơn,20.92,105.7123,Hà Nội,2161293,OpenAQ API
HN_004,Cung thiếu nhi,21.0284,105.8556,Hà Nội,2161294,OpenAQ API
HN_005,Công viên Nhân Chính - Khuất Duy Tiến,21.0031,105.79470000000002,Hà Nội,4946812,OpenAQ API
HN_006,Cầu Diễn,21.0398,105.7652,Hà Nội,2161291,OpenAQ API
HN_007,Hanoi,21.021939,105.818806,Hà Nội,7441,OpenAQ API
HN_008,Hoàn Kiếm,21.0263,105.8515,Hà Nội,2161300,OpenAQ API
HN_009,Hàng Đậu,21.0399,105.8473,Hà Nội,2161299,OpenAQ API
HN_010,Khương Trung,20.9949,105.8167,Hà Nội,2161301,OpenAQ API
HN_011,Kim Bài,20.858,105.7656,Hà Nội,2161302,OpenAQ API
HN_012,Kim Liên,21.0074,105.8358,Hà Nội,2161303,OpenAQ API
HN_013,Liên Quan,21.056,105.578,Hà Nội,2161305,OpenAQ API
HN_014,Lê Trực,21.0327,105.8329,Hà Nội,2161304,OpenAQ API
HN_015,Minh Khai - Bắc Từ Liêm,21.05,105.74,Hà Nội,2161306,OpenAQ API
HN_016,Mỹ Đình,21.0269,105.7731,Hà Nội,2161307,OpenAQ API
HN_017,OceanPark,20.9933,105.9441,Hà Nội,6123215,OpenAQ API
HN_018,Pháp Vân,20.9481,105.8493,Hà Nội,2161309,OpenAQ API
HN_019,Phạm Văn Đồng,21.05,105.782,Hà Nội,2161308,OpenAQ API
HN_020,Quảng Phú Cầu,20.7793,105.7851,Hà Nội,2161310,OpenAQ API
HN_021,SPARTAN - Vietnam Acad. Sci.,21.048,105.8,Hà Nội,18,OpenAQ API
HN_022,SPARTAN - Vietnam Acad. Sci.,21.0478,105.8,Hà Nội,1285357,OpenAQ API
HN_023,Sài Sơn,21.0167,105.6478,Hà Nội,2161311,OpenAQ API
HN_024,Sóc Sơn,21.2575,105.8514,Hà Nội,2161312,OpenAQ API
HN_025,Số 1 đường Giải Phóng - phường Bạch Mai - ĐHBK ,21.0052,105.8418,Hà Nội,4946813,OpenAQ API
HN_026,"Số 46, phố Lưu Quang Vũ",21.0152,105.7999,Hà Nội,2161292,OpenAQ API
HN_027,Thanh Xuân - Sóc Sơn,21.2287,105.7583,Hà Nội,2161317,OpenAQ API
HN_028,Thành Công,21.0197,105.8147,Hà Nội,2161316,OpenAQ API
HN_029,Tân Mai,20.9883,105.8549,Hà Nội,2161313,OpenAQ API
HN_030,Tây Hồ Tây,21.0563,105.7974,Hà Nội,2161314,OpenAQ API
HN_031,Tây Mỗ,21.0058,105.7485,Hà Nội,2161315,OpenAQ API
HN_032,Tứ Liên,21.0639,105.8338,Hà Nội,2161318,OpenAQ API
HN_033,US Diplomatic Post: Hanoi,21.02177,105.819002,Hà Nội,2539,OpenAQ API
HN_034,Vân Hà,21.1476,105.9159,Hà Nội,2161320,OpenAQ API
HN_035,Vân Đình,20.7339,105.7703,Hà Nội,2161319,OpenAQ API
HN_036,Võng La,21.1105,105.7605,Hà Nội,2161322,OpenAQ API
HN_037,Văn Quán,20.972,105.7856,Hà Nội,2161321,OpenAQ API
HN_038,Xuân Mai,20.8994,105.5773,Hà Nội,2161323,OpenAQ API
HN_039,nồng độ pm,21.027764483,105.834159739,Hà Nội,307169,OpenAQ API
HN_040,Đào Duy Từ,21.0354,105.8529,Hà Nội,2161296,OpenAQ API
HN_041,Đông Kinh Nghĩa Thục,21.032,105.8515,Hà Nội,2161298,OpenAQ API
HN_042,Đầm Trấu,21.0119,105.8644,Hà Nội,2161295,OpenAQ API
HN_043,Đội Bình,20.6486,105.8204,Hà Nội,2161297,OpenAQ API
HCM_001,CMT8,10.78533,106.67029,TP.HCM,3276359,OpenAQ API
HCM_002,Care Centre,10.774491,106.661026,TP.HCM,6068138,OpenAQ API
HCM_003,"Trường Đại học Khoa học Tự nhiên, ĐHQG-HCM, Cơ sở Linh Trung.",10.876939,106.797617,TP.HCM,4743591,OpenAQ API
HCM_004,US Diplomatic Post: Ho Chi Minh City,10.783041,106.700722,TP.HCM,2446,OpenAQ API
HCM_005,US Diplomatic Post: Ho Chi Minh City,10.782773,106.700035,TP.HCM,7440,OpenAQ API
HCM_006,VNUHCMUS CAMPUS 1,10.761968,106.682582,TP.HCM,6273386,OpenAQ API
HCM_007,od3,10.694685455,106.721574962,TP.HCM,268929,OpenAQ API
HCM_008,od5,10.715946249,106.729752682,TP.HCM,268935,OpenAQ API
HCM_009,od6,10.694870278,106.721540764,TP.HCM,268937,OpenAQ API
HCM_010,outdoor,10.694526659,106.721235998,TP.HCM,268816,OpenAQ API
HCM_011,outdoor2,10.694870278,106.721544452,TP.HCM,268821,OpenAQ API
