State,City,Date,PM2.5 (ug/m3),PM10 (ug/m3),NO (ug/m3),NO2 (ug/m3),NOx (ppb),NH3 (ug/m3),CO (mg/m3),SO2 (ug/m3),O3 (ug/m3),Benzene (ug/m3),Toluene (ug/m3),Xylene (ug/m3),AQI,AQI_Bucket,Wind_Speed (km/h),Humidity (%),Deforestation_Rate_%,Industry_Growth_%,CO2_Emission_MT,Population_Density_per_SqKm
Red River Delta,Hanoi,2014-01-01,99.92113967226959,194.987681433526,44.15535830324744,219.4894084545237,139.73172638161873,7.517490642925105,6.376785422425776,29.319651444043437,49.63960256573556,2.5730166193280053,5.890994683431712,3.444526814552518,174.0,Unhealthy,15.214233600919862,92.22894340762068,2.727935509062875,6.637982552448272,6.173265516775486,4852.116734093929
Red River Delta,Hanoi,2014-02-01,84.68165677189158,161.12808229671577,55.68684090456343,208.4716045655931,140.00397609918298,7.118577438606627,2.598815197030208,26.339623584368866,53.985792264919795,1.1537470387346362,3.079224231089264,0.8623657726633873,166.0,Unhealthy,3.9583821522123426,83.10160865216342,2.611856198923486,5.391169864084791,6.785012304836069,4475.615060337661
Red River Delta,Hanoi,2014-03-01,103.54452491441663,209.0433734273682,33.38059889452151,187.42695203079788,117.02800199041928,9.36250348646025,2.6788444390172863,40.582192034100665,61.625027474918824,1.1340721238534235,1.7113828594159337,0.9052033821130367,176.0,Unhealthy,12.1719099402526,73.81049844148644,1.3079130240533559,7.909459875806436,5.4402001880240745,4996.75758408114
Red River Delta,Hanoi,2014-04-01,108.98362698456853,166.8978747525352,58.47973740449392,230.7465707245504,153.28994330839348,9.788240459145044,3.5440442023476164,40.05968055585171,42.8898453569343,1.721381836964323,4.683601525626265,1.810148659578975,179.0,Unhealthy,3.778229218291302,66.92357097409302,3.192196029358504,7.862351121256408,6.546123674440384,4756.88479345428
Red River Delta,Hanoi,2014-05-01,51.48769937914996,95.57345145361387,23.117648169387014,123.5572799499169,77.73771190323109,14.283298068463779,3.4776920516485625,17.72927750167308,71.84561652431509,0.9704876164108248,1.849083743625512,0.9893481330959442,140.0,Unhealthy for Sensitive Groups,14.964108297083127,80.37156793832928,1.9183090907945548,9.95456878907889,6.647693303342533,5007.018650087028
Red River Delta,Hanoi,2014-06-01,33.46716466974549,57.36471539104574,15.216750539321147,77.49041893377162,49.13479982073917,7.081264203274581,1.946307591478758,10.75563255517715,67.69800500278801,0.5159152078668013,1.3274956709820427,0.7524144962629844,96.0,Moderate,8.330103387069531,87.79743717556927,2.3115513012544566,11.563841287630353,5.649435265733548,4830.530825359865
Red River Delta,Hanoi,2014-07-01,51.14732495119707,102.50933935039345,33.44157786012607,106.3244780020776,74.07600960696794,9.645488359209654,2.639748389743685,12.256410944796427,61.20455612682642,1.4021158203310689,3.7275575224970057,1.4044321747859783,140.0,Unhealthy for Sensitive Groups,5.359144791893205,78.91223800182281,1.29719754692216,11.4825958138705,4.632995749519522,5574.041070228528
Red River Delta,Hanoi,2014-08-01,43.23248860924086,68.23515533805012,27.734893015526147,80.73960102413822,57.491481841022114,14.29930098805284,1.346824110728304,12.409081339259075,24.12925260089381,1.2661967799530922,3.5319864398752134,1.2390476051564423,120.0,Unhealthy for Sensitive Groups,9.828503061936786,86.2049205852486,2.051559809894808,7.300766930984515,3.9650102329795764,5289.790150022856
Red River Delta,Hanoi,2014-09-01,31.172624737134218,58.56902125464534,16.818782881306085,59.2319669549622,40.306897413222195,10.8621743335947,1.3460946789269101,5.105516293496346,61.357093689769485,0.7922791031912525,2.31962649693597,1.0604797947833609,91.0,Moderate,8.802196824095141,77.94747604394011,0.6237337094352955,7.492422906185533,4.923951481120766,4940.348526259048
Red River Delta,Hanoi,2014-10-01,141.4300174644884,296.15320783347494,57.86857218125971,273.62925638316693,175.69384913914612,9.956732118781671,7.9056058839084855,35.92912028583805,46.44500327045213,2.762435129542107,7.87299229216801,2.387845605923636,195.0,Unhealthy,15.660137759341563,74.22183178543405,1.157552632815564,11.560461452550292,8.518995653264948,5171.2554177288375
