column,missing_count,missing_pct,dtype
aqi_bucket_clean,817,0.2461,object
co2_emission,8,0.0024,float64
country,0,0.0,string
state,0,0.0,string
pm25,0,0.0,float64
pm10,0,0.0,float64
city,0,0.0,string
date,0,0.0,datetime64[ns]
nox,0,0.0,float64
nh3,0,0.0,float64
co,0,0.0,float64
so2,0,0.0,float64
o3,0,0.0,float64
benzene,0,0.0,float64
no,0,0.0,float64
no2,0,0.0,float64
xylene,0,0.0,float64
toluene,0,0.0,float64
wind_speed,0,0.0,float64
aqi,0,0.0,float64
humidity,0,0.0,float64
deforestation_rate,0,0.0,float64
industry_growth,0,0.0,float64
aqi_bucket,0,0.0,object
population_density,0,0.0,float64
division,0,0.0,string
region,0,0.0,string
province,0,0.0,string
prefecture,0,0.0,string
federal_district,0,0.0,string
year,0,0.0,int32
target_aqi_bucket,0,0.0,object
