model,split,accuracy,macro_f1,weighted_f1,macro_precision,macro_recall,cohen_kappa
XGBoost,test,0.987,0.9430947678230894,0.9868433032409021,0.9580960207529433,0.9298055776633487,0.9823013815772984
LightGBM,test,0.9867,0.9394434048439205,0.9865583740405831,0.9520676489310107,0.9281566867878812,0.9819022725438833
LightGBM_Optuna,test,0.9863,0.9369048947778836,0.9861494546146315,0.9474545693883009,0.9272486021253191,0.9813555190861646
StackingEnsemble,test,0.9843,0.9136634234046707,0.9847807468538791,0.8986121725840408,0.9357594664906839,0.978662457652963
DecisionTree,test,0.9824,0.9123020436217514,0.9830988111230045,0.8928890114865071,0.943492196773859,0.976112137120459
RandomForest,test,0.9324,0.862595647057702,0.9337306416033636,0.8421407382870943,0.8899566600638437,0.9089653741047078
ExtraTrees,test,0.8453,0.7725925083341966,0.8487005121099712,0.735439830717547,0.8401028171006694,0.7937203597191573
LogisticRegression_SGD,test,0.5763,0.4261911054502336,0.5630111962305231,0.44987337507055986,0.5905096895538252,0.46546759159150375
LightGBM_Optuna,val,0.9905,0.9558258871660886,0.9903704701595285,0.9692236504680795,0.9438091434844847,0.987060245860777
XGBoost,val,0.9891,0.9557635601282376,0.9890050052624938,0.964302991401793,0.9480230456808614,0.9851543025024153
LightGBM,val,0.9898,0.9530541630209063,0.9896708424102413,0.9665849661506104,0.9410088091462451,0.9861078170142359
StackingEnsemble,val,0.9865,0.9310935824309704,0.9868449070744185,0.9177823736711098,0.9490856199093192,0.9816422540374803
DecisionTree,val,0.9826,0.9198661720212433,0.9833027175266221,0.8998621278659176,0.9520063801403187,0.9763756313714345
RandomForest,val,0.9368,0.8843574158151687,0.9378351480105839,0.8623184311096974,0.9126947574746124,0.9148991154597903
ExtraTrees,val,0.8443,0.7895837925433029,0.8471359954952148,0.7542708633313849,0.8487834952294602,0.7925101522103946
LogisticRegression_SGD,val,0.5787,0.43461175402857083,0.5658873330870825,0.45429517042635287,0.5993679874860024,0.46937620582147577
